Method,Moves,Time
"$\pi_{\theta,(64,10)}$",17.0,0.024394989013671875
"$\pi_{\theta,(64,10)}$",20.0,0.013958930969238281
"$\pi_{\theta,(64,10)}$",17.0,0.013628959655761719
"$\pi_{\theta,(64,10)}$",15.0,0.011627912521362305
"$\pi_{\theta,(64,10)}$",15.0,0.012324094772338867
"$\pi_{\theta,(64,10)}$",16.0,0.011265039443969727
"$\pi_{\theta,(64,10)}$",13.0,0.011229991912841797
"$\pi_{\theta,(64,10)}$",17.0,0.012444734573364258
"$\pi_{\theta,(64,10)}$",14.0,0.009491920471191406
"$\pi_{\theta,(64,10)}$",18.0,0.0236051082611084
"$\pi_{\theta,(64,10)}$",18.0,0.01239013671875
"$\pi_{\theta,(64,10)}$",17.0,0.011980056762695312
"$\pi_{\theta,(64,10)}$",17.0,0.01185297966003418
"$\pi_{\theta,(64,10)}$",15.0,0.01065516471862793
"$\pi_{\theta,(64,10)}$",18.0,0.012551069259643555
"$\pi_{\theta,(64,10)}$",17.0,0.011818885803222656
"$\pi_{\theta,(64,10)}$",14.0,0.009449958801269531
"$\pi_{\theta,(64,10)}$",19.0,0.012502908706665039
"$\pi_{\theta,(64,10)}$",16.0,0.012688875198364258
"$\pi_{\theta,(64,10)}$",17.0,0.012263774871826172
"$\pi_{\theta,(64,10)}$",17.0,0.01589798927307129
"$\pi_{\theta,(64,10)}$",19.0,0.014929771423339844
"$\pi_{\theta,(64,10)}$",16.0,0.010786771774291992
"$\pi_{\theta,(64,10)}$",15.0,0.011843204498291016
"$\pi_{\theta,(64,10)}$",14.0,0.01015019416809082
"$\pi_{\theta,(64,10)}$",18.0,0.012158870697021484
"$\pi_{\theta,(64,10)}$",15.0,0.01091909408569336
"$\pi_{\theta,(64,10)}$",17.0,0.01130986213684082
"$\pi_{\theta,(64,10)}$",19.0,0.013242006301879883
"$\pi_{\theta,(64,10)}$",18.0,0.013629913330078125
"$\pi_{\theta,(64,10)}$",18.0,0.01227712631225586
"$\pi_{\theta,(64,10)}$",14.0,0.01143789291381836
"$\pi_{\theta,(64,10)}$",14.0,0.01052403450012207
"$\pi_{\theta,(64,10)}$",14.0,0.010138988494873047
"$\pi_{\theta,(64,10)}$",14.0,0.009956121444702148
"$\pi_{\theta,(64,10)}$",17.0,0.012223958969116211
"$\pi_{\theta,(64,10)}$",18.0,0.013004064559936523
"$\pi_{\theta,(64,10)}$",17.0,0.012050867080688477
"$\pi_{\theta,(64,10)}$",18.0,0.013285160064697266
"$\pi_{\theta,(64,10)}$",17.0,0.012006044387817383
"$\pi_{\theta,(64,10)}$",15.0,0.010171890258789062
"$\pi_{\theta,(64,10)}$",15.0,0.009935140609741211
"$\pi_{\theta,(64,10)}$",12.0,0.008060932159423828
"$\pi_{\theta,(64,10)}$",13.0,0.009206056594848633
"$\pi_{\theta,(64,10)}$",17.0,0.013516902923583984
"$\pi_{\theta,(64,10)}$",16.0,0.010901927947998047
"$\pi_{\theta,(64,10)}$",16.0,0.013033151626586914
"$\pi_{\theta,(64,10)}$",18.0,0.013049125671386719
"$\pi_{\theta,(64,10)}$",17.0,0.011713027954101562
"$\pi_{\theta,(64,10)}$",15.0,0.010344982147216797
"$\pi_{\theta,(64,10)}$",15.0,0.010829687118530273
"$\pi_{\theta,(64,10)}$",15.0,0.010397911071777344
"$\pi_{\theta,(64,10)}$",15.0,0.01071786880493164
"$\pi_{\theta,(64,10)}$",20.0,0.014801263809204102
"$\pi_{\theta,(64,10)}$",17.0,0.012247800827026367
"$\pi_{\theta,(64,10)}$",16.0,0.011057138442993164
"$\pi_{\theta,(64,10)}$",12.0,0.008054018020629883
"$\pi_{\theta,(64,10)}$",16.0,0.01110696792602539
"$\pi_{\theta,(64,10)}$",19.0,0.013147115707397461
"$\pi_{\theta,(64,10)}$",15.0,0.01067209243774414
"$\pi_{\theta,(64,10)}$",16.0,0.011295795440673828
"$\pi_{\theta,(64,10)}$",17.0,0.012842893600463867
"$\pi_{\theta,(64,10)}$",15.0,0.010952949523925781
"$\pi_{\theta,(64,10)}$",13.0,0.00859522819519043
"$\pi_{\theta,(64,10)}$",14.0,0.009958028793334961
"$\pi_{\theta,(64,10)}$",18.0,0.014355897903442383
"$\pi_{\theta,(64,10)}$",16.0,0.011287212371826172
"$\pi_{\theta,(64,10)}$",17.0,0.011857032775878906
"$\pi_{\theta,(64,10)}$",17.0,0.012178897857666016
"$\pi_{\theta,(64,10)}$",15.0,0.010525941848754883
"$\pi_{\theta,(64,10)}$",14.0,0.009647130966186523
"$\pi_{\theta,(64,10)}$",16.0,0.011123180389404297
"$\pi_{\theta,(64,10)}$",13.0,0.00847482681274414
"$\pi_{\theta,(64,10)}$",15.0,0.010236263275146484
"$\pi_{\theta,(64,10)}$",14.0,0.009776115417480469
"$\pi_{\theta,(64,10)}$",14.0,0.009536027908325195
"$\pi_{\theta,(64,10)}$",16.0,0.011245965957641602
"$\pi_{\theta,(64,10)}$",13.0,0.009146690368652344
"$\pi_{\theta,(64,10)}$",15.0,0.010445117950439453
"$\pi_{\theta,(64,10)}$",16.0,0.010884284973144531
"$\pi_{\theta,(64,10)}$",16.0,0.011269092559814453
"$\pi_{\theta,(64,10)}$",19.0,0.01346731185913086
"$\pi_{\theta,(64,10)}$",17.0,0.012269020080566406
"$\pi_{\theta,(64,10)}$",13.0,0.009495973587036133
"$\pi_{\theta,(64,10)}$",15.0,0.011879920959472656
"$\pi_{\theta,(64,10)}$",15.0,0.011167049407958984
"$\pi_{\theta,(64,10)}$",16.0,0.011595010757446289
"$\pi_{\theta,(64,10)}$",15.0,0.010741949081420898
"$\pi_{\theta,(64,10)}$",19.0,0.012862920761108398
"$\pi_{\theta,(64,10)}$",21.0,0.014696121215820312
"$\pi_{\theta,(64,10)}$",20.0,0.014034271240234375
"$\pi_{\theta,(64,10)}$",15.0,0.010744094848632812
"$\pi_{\theta,(64,10)}$",17.0,0.012820005416870117
"$\pi_{\theta,(64,10)}$",15.0,0.010329961776733398
"$\pi_{\theta,(64,10)}$",16.0,0.010667800903320312
"$\pi_{\theta,(64,10)}$",13.0,0.00875997543334961
"$\pi_{\theta,(64,10)}$",16.0,0.011206865310668945
"$\pi_{\theta,(64,10)}$",17.0,0.012033224105834961
"$\pi_{\theta,(64,10)}$",13.0,0.009206056594848633
"$\pi_{\theta,(64,10)}$",17.0,0.011976003646850586
"$\pi_{\theta,(64,10)}$",15.0,0.00989079475402832
"$\pi_{\theta,(64,10)}$",16.0,0.011051654815673828
"$\pi_{\theta,(64,10)}$",16.0,0.011181116104125977
"$\pi_{\theta,(64,10)}$",19.0,0.013399839401245117
"$\pi_{\theta,(64,10)}$",15.0,0.010420799255371094
"$\pi_{\theta,(64,10)}$",15.0,0.010651111602783203
"$\pi_{\theta,(64,10)}$",15.0,0.010894298553466797
"$\pi_{\theta,(64,10)}$",15.0,0.010377883911132812
"$\pi_{\theta,(64,10)}$",18.0,0.012977838516235352
"$\pi_{\theta,(64,10)}$",17.0,0.011888265609741211
"$\pi_{\theta,(64,10)}$",17.0,0.012466192245483398
"$\pi_{\theta,(64,10)}$",17.0,0.011139154434204102
"$\pi_{\theta,(64,10)}$",15.0,0.010516166687011719
"$\pi_{\theta,(64,10)}$",17.0,0.01544189453125
"$\pi_{\theta,(64,10)}$",16.0,0.012276172637939453
"$\pi_{\theta,(64,10)}$",15.0,0.012186288833618164
"$\pi_{\theta,(64,10)}$",16.0,0.013564825057983398
"$\pi_{\theta,(64,10)}$",19.0,0.013345956802368164
"$\pi_{\theta,(64,10)}$",14.0,0.009629011154174805
"$\pi_{\theta,(64,10)}$",16.0,0.011633157730102539
"$\pi_{\theta,(64,10)}$",19.0,0.014624834060668945
"$\pi_{\theta,(64,10)}$",16.0,0.010914087295532227
"$\pi_{\theta,(64,10)}$",15.0,0.009791135787963867
"$\pi_{\theta,(64,10)}$",17.0,0.011972188949584961
"$\pi_{\theta,(64,10)}$",15.0,0.010308027267456055
"$\pi_{\theta,(64,10)}$",17.0,0.011736869812011719
"$\pi_{\theta,(64,10)}$",17.0,0.012468814849853516
"$\pi_{\theta,(64,10)}$",15.0,0.010720014572143555
"$\pi_{\theta,(64,10)}$",16.0,0.011207103729248047
"$\pi_{\theta,(64,10)}$",18.0,0.012574911117553711
"$\pi_{\theta,(64,10)}$",17.0,0.011986017227172852
"$\pi_{\theta,(64,10)}$",19.0,0.013474702835083008
"$\pi_{\theta,(64,10)}$",17.0,0.01200723648071289
"$\pi_{\theta,(64,10)}$",16.0,0.011358022689819336
"$\pi_{\theta,(64,10)}$",17.0,0.012091875076293945
"$\pi_{\theta,(64,10)}$",17.0,0.013419866561889648
"$\pi_{\theta,(64,10)}$",17.0,0.011808156967163086
"$\pi_{\theta,(64,10)}$",16.0,0.01166081428527832
"$\pi_{\theta,(64,10)}$",12.0,0.009150266647338867
"$\pi_{\theta,(64,10)}$",14.0,0.009370803833007812
"$\pi_{\theta,(64,10)}$",16.0,0.011579751968383789
"$\pi_{\theta,(64,10)}$",17.0,0.012436389923095703
"$\pi_{\theta,(64,10)}$",14.0,0.009474754333496094
"$\pi_{\theta,(64,10)}$",17.0,0.016913890838623047
"$\pi_{\theta,(64,10)}$",13.0,0.010243892669677734
"$\pi_{\theta,(64,10)}$",15.0,0.011137008666992188
"$\pi_{\theta,(64,10)}$",17.0,0.012073040008544922
"$\pi_{\theta,(64,10)}$",16.0,0.012014150619506836
"$\pi_{\theta,(64,10)}$",13.0,0.010869979858398438
"$\pi_{\theta,(64,10)}$",18.0,0.012434959411621094
"$\pi_{\theta,(64,10)}$",15.0,0.011904001235961914
