method,board,time,moves,beam_width
2lookahead,25,0.7781450748443604,14,16
2lookahead,25,1.6653265953063965,14,32
2lookahead,25,2.868628978729248,14,64
2lookahead,25,5.329818248748779,14,128
2lookahead,25,10.525429487228394,14,256
1lookahead,26,0.0077254772186279,14,1
1lookahead,26,0.012869119644165,13,2
1lookahead,26,0.0246534347534179,13,4
1lookahead,26,0.0481152534484863,14,8
1lookahead,26,0.0989372730255127,14,16
1lookahead,26,0.1974890232086181,14,32
1lookahead,26,0.3565630912780761,13,64
1lookahead,26,0.7326626777648926,13,128
1lookahead,26,1.3787729740142822,12,256
1lookahead,26,2.893158435821533,12,512
1lookahead,26,5.3788981437683105,12,1024
1lookahead,26,10.340545654296877,12,2048
2lookahead,26,0.0435304641723632,14,1
2lookahead,26,0.0671498775482177,14,2
2lookahead,26,0.1260499954223632,14,4
2lookahead,26,0.2569127082824707,14,8
2lookahead,26,0.5161170959472656,13,16
2lookahead,26,1.0863285064697266,13,32
2lookahead,26,1.8663215637207031,13,64
2lookahead,26,3.613853931427002,12,128
2lookahead,26,7.089941501617432,12,256
2lookahead,26,14.958350658416748,12,512
1lookahead,27,0.0126919746398925,19,1
1lookahead,27,0.0249907970428466,20,2
1lookahead,27,0.040651798248291,18,4
1lookahead,27,0.0775594711303711,17,8
1lookahead,27,0.1482918262481689,16,16
1lookahead,27,0.2990574836730957,16,32
1lookahead,27,0.565302848815918,16,64
1lookahead,27,1.1203432083129885,16,128
1lookahead,27,2.1330926418304443,15,256
1lookahead,27,4.371791124343872,15,512
1lookahead,27,8.539598941802979,15,1024
1lookahead,27,16.321088075637817,15,2048
2lookahead,27,0.0719127655029296,16,1
2lookahead,27,0.1229095458984375,16,2
2lookahead,27,0.2346203327178955,16,4
2lookahead,27,0.4626533985137939,16,8
2lookahead,27,0.8938853740692139,16,16
2lookahead,27,1.8362576961517336,16,32
2lookahead,27,3.318700075149536,15,64
2lookahead,27,6.297129154205322,15,128
2lookahead,27,12.433977842330933,15,256
1lookahead,28,0.0130767822265625,20,1
1lookahead,28,0.0198750495910644,18,2
1lookahead,28,0.0380034446716308,18,4
1lookahead,28,0.0776464939117431,18,8
1lookahead,28,0.15010666847229,18,16
1lookahead,28,0.3034906387329101,18,32
1lookahead,28,0.6004066467285156,17,64
1lookahead,28,1.0670738220214844,17,128
1lookahead,28,2.149526357650757,17,256
1lookahead,28,4.4089674949646,17,512
1lookahead,28,8.687020540237427,17,1024
1lookahead,28,16.383172035217285,16,2048
2lookahead,28,0.0727167129516601,17,1
2lookahead,28,0.1221904754638671,17,2
2lookahead,28,0.2339148521423339,18,4
2lookahead,28,0.4616594314575195,18,8
2lookahead,28,0.9255390167236328,18,16
2lookahead,28,1.854656219482422,17,32
2lookahead,28,3.413857698440552,17,64
2lookahead,28,6.44033408164978,17,128
2lookahead,28,12.862252235412598,17,256
1lookahead,29,0.0110776424407958,21,1
1lookahead,29,0.0111896991729736,12,2
1lookahead,29,0.020745038986206,13,4
1lookahead,29,0.0402894020080566,12,8
1lookahead,29,0.0801634788513183,11,16
1lookahead,29,0.1533639430999755,11,32
1lookahead,29,0.281703233718872,11,64
1lookahead,29,0.593055248260498,11,128
1lookahead,29,1.1214196681976318,11,256
1lookahead,29,2.3556265830993652,11,512
1lookahead,29,4.2267327308654785,11,1024
1lookahead,29,8.320270299911499,11,2048
2lookahead,29,0.0321555137634277,13,1
2lookahead,29,0.0523476600646972,11,2
2lookahead,29,0.0938475131988525,13,4
2lookahead,29,0.1838526725769043,13,8
2lookahead,29,0.3874275684356689,13,16
2lookahead,29,0.7581512928009033,11,32
2lookahead,29,1.3321166038513184,11,64
2lookahead,29,2.4746999740600586,11,128
2lookahead,29,5.094119071960449,11,256
2lookahead,29,10.588340997695925,11,512
1lookahead,30,0.0102670192718505,16,1
1lookahead,30,0.0185446739196777,16,2
1lookahead,30,0.0413129329681396,18,4
1lookahead,30,0.0657892227172851,15,8
1lookahead,30,0.1322004795074463,15,16
1lookahead,30,0.2653913497924804,15,32
1lookahead,30,0.4962050914764404,15,64
1lookahead,30,0.9715852737426758,14,128
1lookahead,30,1.9070320129394531,14,256
1lookahead,30,3.87788200378418,14,512
1lookahead,30,7.598898410797119,14,1024
1lookahead,30,14.528093338012695,14,2048
2lookahead,30,0.065894603729248,16,1
2lookahead,30,0.1088678836822509,15,2
2lookahead,30,0.2077631950378418,15,4
2lookahead,30,0.3909385204315185,14,8
2lookahead,30,0.8101639747619629,14,16
2lookahead,30,1.649376392364502,14,32
2lookahead,30,3.008589744567871,14,64
2lookahead,30,5.653414964675903,14,128
2lookahead,30,11.192498445510864,14,256
1lookahead,31,0.0123095512390136,18,1
1lookahead,31,0.0223441123962402,18,2
1lookahead,31,0.0368463993072509,15,4
1lookahead,31,0.0723564624786377,16,8
1lookahead,31,0.1324770450592041,15,16
1lookahead,31,0.2693333625793457,15,32
1lookahead,31,0.5104925632476807,15,64
1lookahead,31,1.019425392150879,15,128
1lookahead,31,1.899385690689087,14,256
1lookahead,31,3.863779306411743,14,512
1lookahead,31,7.694051027297974,14,1024
1lookahead,31,14.420403242111206,14,2048
