method,board,time,moves
w32d5,115,0.0105807781219482,19
w32d5,115,0.0194988250732421,18
w32d5,115,0.0372178554534912,16
w32d5,115,0.4813520908355713,15
w32d5,115,3.873969078063965,14
w32d5,116,0.0138819217681884,16
w32d5,116,0.0396220684051513,15
w32d5,116,0.1480300426483154,14
w32d5,116,1.2995548248291016,13
w32d5,116,2.1019909381866455,12
w32d5,117,0.0120990276336669,22
w32d5,117,0.0323870182037353,21
w32d5,117,0.0526671409606933,19
w32d5,117,0.3039312362670898,18
w32d5,117,4.570969104766846,16
w32d5,118,0.0146527290344238,16
w32d5,118,0.1841120719909668,14
w32d5,119,0.0080418586730957,15
w32d5,119,0.9858686923980712,14
w32d5,120,0.0097889900207519,18
w32d5,120,0.0176990032196044,15
w32d5,120,0.6895191669464111,14
w32d5,121,0.0079259872436523,15
w32d5,121,0.0143690109252929,13
w32d5,121,0.4333808422088623,12
w32d5,121,2.7071330547332764,11
w32d5,122,0.0127170085906982,20
w32d5,122,0.091890811920166,19
w32d5,122,0.2957479953765869,17
w32d5,122,6.564123868942261,16
w32d5,123,0.0072658061981201,13
w32d5,124,0.0185058116912841,18
w32d5,124,0.4179117679595947,17
w32d5,124,5.113295793533325,16
w32d5,125,0.0206358432769775,22
w32d5,125,0.0340979099273681,21
w32d5,125,0.0497968196868896,20
w32d5,125,0.0916080474853515,19
w32d5,125,0.1509890556335449,18
w32d5,125,0.2685790061950683,16
w32d5,125,2.3840088844299316,15
w32d5,126,0.0156729221343994,17
w32d5,126,0.0581221580505371,16
w32d5,126,0.1670029163360595,15
w32d5,126,1.0011439323425293,14
w32d5,126,7.482815980911255,13
w32d5,127,0.0088839530944824,17
w32d5,127,0.0242350101470947,14
w32d5,127,0.0310211181640625,13
w32d5,127,0.4172952175140381,12
w32d5,127,0.6703171730041504,11
w32d5,128,0.0077619552612304,15
w32d5,128,0.0147221088409423,14
w32d5,128,0.1129851341247558,13
w32d5,128,0.8961060047149658,12
w32d5,129,0.012930154800415,24
w32d5,129,0.0252621173858642,22
w32d5,129,0.144686222076416,21
w32d5,129,1.0605840682983398,20
w32d5,130,0.0123956203460693,16
w32d5,130,0.4236757755279541,14
w32d5,130,6.607399940490723,13
w32d5,131,0.0130989551544189,18
w32d5,131,0.1750428676605224,17
w32d5,131,0.6593601703643799,16
w32d5,131,1.4092109203338623,15
w32d5,132,0.0079727172851562,15
w32d5,132,0.7076427936553955,14
w32d5,132,2.741549015045166,13
w32d5,133,0.014763593673706,18
w32d5,133,0.0630247592926025,17
w32d5,133,1.0883347988128662,16
w32d5,133,1.7589797973632812,15
w32d5,133,7.51272988319397,14
w32d5,134,0.0070788860321044,15
w32d5,134,0.0638630390167236,14
w32d5,134,0.4249370098114013,13
w32d5,135,0.0074539184570312,15
w32d5,135,0.0514709949493408,14
w32d5,135,0.196714162826538,13
w32d5,135,2.861543893814087,12
w32d5,136,0.0107231140136718,22
w32d5,136,0.0188250541687011,21
w32d5,136,0.0302321910858154,19
w32d5,136,0.0662779808044433,18
w32d5,136,1.658735990524292,17
w32d5,137,0.0067138671875,17
w32d5,137,0.1185548305511474,16
w32d5,137,2.193542718887329,15
w32d5,138,0.0073468685150146,19
w32d5,138,0.0499939918518066,18
w32d5,138,0.2140228748321533,17
w32d5,138,0.4686079025268554,16
w32d5,139,0.0076220035552978,15
w32d5,140,0.0128581523895263,18
w32d5,140,0.0309240818023681,17
w32d5,140,0.057413101196289,16
w32d5,140,0.1769490242004394,15
w32d5,140,0.7629339694976807,14
w32d5,141,0.0059599876403808,15
w32d5,141,1.5096909999847412,14
w32d5,142,0.0103569030761718,15
w32d5,142,0.1579389572143554,14
w32d5,143,0.0079479217529296,18
w32d5,143,0.0777699947357177,17
w32d5,143,0.1283690929412841,16
w32d5,143,0.7648279666900635,15
w32d5,144,0.0129709243774414,20
w32d5,144,0.0549910068511962,18
w32d5,144,0.1961638927459716,17
w32d5,144,0.2903687953948974,16
w32d5,144,3.534435987472534,15
w32d5,145,0.0087738037109375,18
w32d5,145,0.0147278308868408,15
w32d5,145,0.2498857975006103,14
w32d5,145,1.2928335666656494,13
w32d5,146,0.0071320533752441,19
w32d5,146,0.013768196105957,16
w32d5,146,0.1799490451812744,15
w32d5,146,0.5586709976196289,14
w32d5,146,3.0996179580688477,13
w32d5,147,0.0083279609680175,14
w32d5,147,0.0492150783538818,13
w32d5,147,1.2260189056396484,12
w32d5,148,0.0106470584869384,19
w32d5,148,0.0851640701293945,17
w32d5,149,0.0106639862060546,22
w32d5,149,0.0185937881469726,20
w32d5,149,0.1720988750457763,19
w32d5,149,0.280247688293457,18
w32d5,149,5.989325761795044,17
